Aggregation,Distance_m,Mean_Temperature_C
Mean across 5 timesteps,4.761,16.5724
Mean across 5 timesteps,5.015,16.3668
Mean across 5 timesteps,5.269,16.3698
Mean across 5 timesteps,5.524,16.1824
Mean across 5 timesteps,5.778,16.1744
Mean across 5 timesteps,6.032,16.2928
Mean across 5 timesteps,6.286,16.4494
Mean across 5 timesteps,6.54,16.438200000000002
Mean across 5 timesteps,6.795,16.439199999999996
Mean across 5 timesteps,7.049,16.422800000000002
Mean across 5 timesteps,7.303,16.393
Mean across 5 timesteps,7.557,16.4162
Mean across 5 timesteps,7.811,16.3836
Mean across 5 timesteps,8.066,16.392
Mean across 5 timesteps,8.32,16.273000000000003
Mean across 5 timesteps,8.574,16.1926
Mean across 5 timesteps,8.828,16.147199999999998
Mean across 5 timesteps,9.082,16.0586
Mean across 5 timesteps,9.337,15.892000000000001
Mean across 5 timesteps,9.591,15.7666
Mean across 5 timesteps,9.845,15.630599999999998
Mean across 5 timesteps,10.099,15.423399999999997
Mean across 5 timesteps,10.353,15.232400000000002
Mean across 5 timesteps,10.608,15.000399999999999
Mean across 5 timesteps,10.862,14.803
Mean across 5 timesteps,11.116,14.6344
Mean across 5 timesteps,11.37,14.4582
Mean across 5 timesteps,11.624,14.291599999999999
Mean across 5 timesteps,11.879,14.126600000000002
Mean across 5 timesteps,12.133,13.975399999999999
Mean across 5 timesteps,12.387,13.8018
Mean across 5 timesteps,12.641,13.6284
Mean across 5 timesteps,12.895,13.487199999999998
Mean across 5 timesteps,13.15,13.3704
Mean across 5 timesteps,13.404,13.3138
Mean across 5 timesteps,13.658,13.2466
Mean across 5 timesteps,13.912,13.102800000000002
Mean across 5 timesteps,14.166,13.048599999999999
