# Median_Temperature Distance
11.705000 -10.000000
11.716000 -9.746000
11.802000 -9.492000
11.821000 -9.238000
11.993000 -8.983000
12.086000 -8.729000
12.089000 -8.475000
12.149000 -8.221000
12.283000 -7.967000
12.454000 -7.712000
12.553000 -7.458000
12.726000 -7.204000
12.837000 -6.950000
12.923000 -6.696000
13.130000 -6.441000
13.286000 -6.187000
13.551000 -5.933000
13.759000 -5.679000
13.888000 -5.425000
13.997000 -5.170000
14.217000 -4.916000
14.341000 -4.662000
14.487000 -4.408000
14.624000 -4.154000
14.642000 -3.899000
14.704000 -3.645000
14.743000 -3.391000
14.803000 -3.137000
14.874000 -2.883000
14.942000 -2.628000
14.887000 -2.374000
14.896000 -2.120000
15.025000 -1.866000
15.086000 -1.612000
15.048000 -1.357000
15.079000 -1.103000
15.428000 -0.849000
16.499000 -0.595000
17.681000 -0.341000
18.879000 -0.086000
