# Median_Temperature Distance
9.940000 -10.000000
9.917000 -9.746000
9.843000 -9.492000
9.528000 -9.238000
9.445000 -8.983000
9.218000 -8.729000
8.955000 -8.475000
8.678000 -8.221000
8.619000 -7.967000
8.401000 -7.712000
8.271000 -7.458000
8.243000 -7.204000
8.112000 -6.950000
7.997000 -6.696000
7.834000 -6.441000
7.772000 -6.187000
7.642000 -5.933000
7.416000 -5.679000
7.384000 -5.425000
7.338000 -5.170000
7.432000 -4.916000
7.237000 -4.662000
7.330000 -4.408000
7.311000 -4.154000
7.427000 -3.899000
7.814000 -3.645000
8.164000 -3.391000
8.243000 -3.137000
8.771000 -2.883000
8.934000 -2.628000
9.160000 -2.374000
9.289000 -2.120000
9.290000 -1.866000
9.790000 -1.612000
9.077000 -1.357000
10.773000 -1.103000
8.024000 -0.849000
10.069000 -0.595000
9.827000 -0.341000
6.976000 -0.086000
